#t [s],	 res[A],	 res[Q] 
1.54220000000000001528 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54330000000000011617 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54439999999999999503 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54550000000000009592 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54659999999999997478 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54770000000000007567 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54880000000000017657 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54990000000000005542 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55100000000000015632 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55210000000000003517 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55320000000000013607 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55430000000000001492 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55540000000000011582 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55649999999999999467 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55760000000000009557 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55869999999999997442 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.55980000000000007532 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.56090000000000017621 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56200000000000005507 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56310000000000015596 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56420000000000003482 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56530000000000013571 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56640000000000001457 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56750000000000011546 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56859999999999999432 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.56970000000000009521 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57079999999999997407 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57190000000000007496 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57300000000000017586 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57410000000000005471 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57520000000000015561 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57630000000000003446 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57740000000000013536 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57850000000000001421 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
1.57960000000000011511 ,	 0.00006079874232787787 ,	 0.00140958809014577195 
