t	Pre-Clamp(Aorta raw)	Post-Clamp
8.90	114.927	128.345
8.91	113.786	125.167
8.92	112.414	121.58
8.93	110.825	117.411
8.94	108.856	113.047
8.95	106.686	108.446
8.96	103.933	104.12
8.97	101.099	99.9283
8.98	97.9071	96.4005
8.99	94.8939	92.925
9.00	91.8808	90.1132
9.01	89.3673	87.4058
9.02	87.279	85.489
9.03	85.6233	83.7438
9.04	84.1391	82.2894
9.05	82.9905	81.1035
9.06	81.6778	80.1787
9.07	80.574	79.2016
9.08	79.4627	78.5751
9.09	78.7243	77.9337
9.10	77.9859	77.5534
9.11	77.5459	76.9343
9.12	76.9269	76.5912
9.13	76.3004	76.1587
9.14	75.5769	75.7112
9.15	75.0623	75.2413
9.16	74.4731	74.6968
9.17	74.1002	74.0778
9.18	73.6377	73.4289
9.19	73.2275	72.7204
9.20	72.5712	72.1386
9.21	72.0491	71.4077
9.22	71.348	70.7887
9.23	70.7663	70.11
9.24	70.11	69.6028
9.25	69.5506	69.2075
9.26	68.8271	69.3343
9.27	68.3796	70.0801
9.28	68.1335	72.2579
9.29	68.6407	75.9051
9.30	70.0279	81.3571
9.31	72.6383	88.0696
9.32	76.4719	95.9903
9.33	81.3273	104.187
9.34	86.6525	112.488
9.35	92.2612	120.312
9.36	97.3477	127.315
9.37	102.143	133.334
9.38	106.231	138.257
9.39	109.743	141.807
9.40	112.57	144.35
9.41	115.046	145.633
9.42	116.851	146.058
9.43	118.059	145.588
9.44	118.492	144.574
9.45	118.47	142.881
9.46	117.933	140.964
9.47	117.247	138.555
9.48	116.292	136.124
9.49	114.964	133.394
9.50	113.413	130.597
9.51	111.63	127.546
9.52	109.579	124.295
9.53	107.223	120.648
9.54	104.47	116.739
9.55	101.457	112.466
9.56	98.1756	108.006
9.57	94.9909	103.493
9.58	92.0598	99.1377
9.59	89.6358	94.9909
9.60	87.4505	91.4184
9.61	85.7948	88.2113
9.62	84.1465	85.571
9.63	82.7891	83.2813
9.64	81.4391	81.4615
9.65	80.1712	79.8953
9.66	78.9182	78.8138
9.67	77.889	77.8815
9.68	76.8597	77.3445
9.69	76.0244	76.6956
9.70	75.2711	76.278
9.71	74.6372	75.7559
9.72	73.9734	75.4203
9.73	73.3842	74.9952
9.74	72.6905	74.6073
9.75	72.0715	74.1076
9.76	71.5569	73.675
9.77	71.0646	73.0485
9.78	70.3561	72.5787
9.79	69.916	72.0417
9.80	69.2224	71.4823
9.81	68.6108	70.811
9.82	68.0589	70.1249
9.83	67.5219	69.3716
9.84	66.9327	68.8346
9.85	66.4703	68.2155
9.86	66.0079	67.7084
9.87	66.0079	67.1266
9.88	66.6344	67.1117
9.89	68.2901	67.507
9.90	70.99	68.8868
9.91	74.8534	71.4226
9.92	79.5149	75.6291
9.93	84.6835	81.3646
9.94	89.7104	88.3381
9.95	94.4241	96.0947
9.96	98.5112	104.209
9.97	102.002	111.951
9.98	104.858	119.148
9.99	107.305	125.361
10.00	109.087	130.582
10.01	110.273	134.699
10.02	110.75	137.623
10.03	110.758	139.442
10.04	110.228	140.226
10.05	109.4	140.226
10.06	108.274	139.368
10.07	107.036	137.854
10.08	105.537	135.922
10.09	103.665	133.453
10.10	101.457	130.843
10.11	98.9886	127.897
10.12	96.1246	124.765
10.13	93.1785	121.378
10.14	90.0386	117.679
10.15	87.2119	113.652
10.16	84.6686	109.43
10.17	82.6548	104.978
10.18	80.9394	100.614
10.19	79.4701	96.2961
10.20	78.0829	92.4625
10.21	76.9492	89.0093
10.22	75.644	86.1006
10.23	74.5626	83.5797
10.24	73.6899	81.469
10.25	72.8248	79.7163
10.26	72.1312	78.3365
10.27	71.5047	77.2326
10.28	70.8931	76.36
10.29	70.468	75.6664
10.30	69.931	75.107
10.31	69.4611	74.5775
10.32	68.9539	74.2419
10.33	68.5139	73.6899
10.34	68.0365	73.317
10.35	67.6785	72.7502
10.36	67.0968	72.3997
10.37	66.791	71.8403
10.38	66.2242	71.4674
10.39	65.7468	70.8856
10.40	65.1949	70.4978
10.41	64.7698	69.9533
10.42	64.2253	69.394
10.43	63.8897	68.7973
10.44	63.3975	68.2901
10.45	63.3154	67.6487
10.46	63.6585	67.149
