#t [s],	 res[A],	 res[Q] 
6.65720000000000045048 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65830000000000055138 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65940000000000065228 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66050000000000075318 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66159999999999996589 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66270000000000006679 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66380000000000016769 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66490000000000026859 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66600000000000036948 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66710000000000047038 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66820000000000057128 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.66930000000000067217 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.67039999999999988489 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
